overlap,trial_idx,hamming_dist,reading_frame,max_barrier,n_mutations,start_z1,start_z2,end_z1,end_z2,success,error
120,8,240,0,1.248917852603578,240,0.7251858015068002,0.5237320510967778,0.0261193372387276,0.8066878265394537,True,
120,9,240,0,1.1723312238108377,240,0.0825986200882776,0.8627407479725377,0.9500417932882429,0.22228943052259478,True,
132,3,240,0,1.1792210542664894,240,0.5059929323996543,0.13782295270946007,0.12156314076983199,0.9721837877201814,True,
132,4,240,0,1.4823060695849888,240,0.6213642546821833,0.8442840986183338,0.17504241284441382,0.7994612349485972,True,
132,0,240,0,1.1793991251870777,240,0.35793477365022697,0.36572886259208237,0.5587826380465776,0.5711072827795564,True,
132,1,240,0,1.7004743778354463,240,0.14694912173126232,0.761522337464189,0.9009924801183261,0.7994818977171201,True,
132,5,240,0,1.621919611929977,240,0.43028085789796233,0.6271032816534404,0.8482042081022311,0.7737154038277461,True,
132,7,240,0,1.1582012733858646,240,0.5261152676847158,0.6320860057011488,-0.00415717317456364,0.37825879063330997,True,
132,8,240,0,0.6622147645941623,240,-0.11454620902102008,0.3885039837642223,0.1314995042498505,0.25785757568973705,True,
144,0,240,0,1.2253683178512031,240,0.3216642903151532,0.33206758152356963,0.9677873260718122,-0.06248728335028247,True,
144,6,240,0,1.033308513598071,240,0.9549119065845754,0.027400812203798055,0.2437229512856154,0.12709866003786693,True,
144,5,240,0,1.4758724807466221,240,0.3653083349609954,0.3325092064709578,0.92481891166923,0.0655985623534194,True,
144,3,240,0,1.1846595334664634,240,0.13889685848833325,0.16164832019049216,0.5025430323198774,0.014519039347320888,True,
144,9,240,0,1.3418405273789427,240,0.8978921494313137,-0.012652706011190765,0.8929044476075607,0.44893607977138206,True,
156,0,240,0,1.8397594197516753,240,0.9645225876995824,0.8198384324072784,0.33192499635655737,0.6742337500010812,True,
156,2,240,0,1.6311271975680803,240,0.7456380041869071,0.6131128850867488,0.8593535349209627,0.5728809660868408,True,
156,1,240,0,1.8986104122950835,240,0.6858610980666271,0.7018173108826781,0.8505691999056897,0.8637621377047212,True,
156,4,240,0,1.6587416694707238,240,0.9411293806005445,0.6790741515866758,0.8572770216977559,0.737489998715259,True,
156,5,240,0,1.1290909216111824,240,0.10711916516267911,0.9503907499940317,0.3361335419599402,0.5247267268561966,True,
156,7,240,0,1.6652241737147286,240,0.748584244801682,0.4665137223693798,0.3308039060413643,0.8093132408203076,True,
