overlap,trial,seed,error,hamming_distance,n_mutations,max_distance_from_natural,start_distance,end_distance,start_energy,end_energy,mean_e1_generated,mean_e2_generated,ga_converged,protein_1,protein_2,nat_mean_1,nat_mean_2
42,17,43742,,241,241,0.18651294126039808,0.00046709095436685364,0.009518651562316231,266.5288447280509,266.7681496081001,145.85330643710256,120.70527110323671,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,18,43842,,241,241,0.20318746825321582,0.0038072285321352943,0.0073749527672335915,266.6569914532121,266.55318196390067,145.8623646009869,120.69479523291739,True,PF00004,PF00041,145.87937104727615,120.65601144257766
42,19,43942,,241,241,0.29910518720111906,0.043427976695199315,0.006823496257767133,267.7352095852282,266.67210548038946,145.91431021130197,120.64702296400648,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,0,48042,,240,240,0.22774295866381938,0.00757336214845563,0.01269318275491447,266.3688247006489,266.3004526886207,149.2077213878363,120.5891355128596,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,1,48142,,240,240,0.2996673503383769,0.028650777093432302,0.00405086251671556,266.5503532408246,266.3958777531932,151.1945176327297,120.9835925859895,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,2,48242,,241,241,0.21548486243442094,0.04188124081967221,0.01914089232797794,267.4822392501825,267.1191877427628,148.58018962518915,121.02508125863436,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,3,48342,,242,242,0.2578489970734697,0.02023558575316423,0.008847129426414448,266.94562112534663,266.4097023543004,150.06672049137535,120.78521083746317,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,4,48442,,242,242,0.29692441859861357,0.09614782256174445,0.018664375996392337,269.6530490218231,266.9869206440855,148.40914279141137,120.72586950176593,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,5,48542,,239,239,0.23521136000021114,0.016349204066914567,0.017666303366594756,266.92946631847417,267.14867293539567,148.84542020196366,120.85420106366443,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,6,48642,,245,245,0.23992617734777896,0.03497731212592533,0.004393480830699691,265.9117287001634,266.469792362724,146.1199647480719,120.57552154152403,True,PF00004,PF00041,145.87937104727615,120.65601144257766
48,7,48742,,239,239,0.22723930585548563,0.022113559540800437,0.013880101215872031,265.7532406256446,266.6655340826426,149.03779395412874,120.89118562144515,True,PF00004,PF00041,145.87937104727615,120.65601144257766
